drug_serial	drug_all_name	highest_phase	disease_condition	formula	target_name	target_id	tr_smiles	modulator_serial	mod_feature	cas_id	basic_patent	drugbank_id	pubmed_id	ref_title
ADR000175	522-054	Preclinical	Schizophrenia; Cognitive disorders	C21H15F2N5	Neuronal acetylcholine receptor subunit alpha-7;Gamma-aminobutyric acid-A receptor	ASD03090000_1;ASD01140000_1	CCn1ccc2cc(ccc12)-c1ccc2nnc(-c3cc(F)ccc3F)n2n1	ASD03092293	Activator;Regulator		WO 2010104843			
ADR000176		Preclinical	Smoking cessation therapy	C13H8N6	Neuronal acetylcholine receptor subunit alpha-4;Neuronal acetylcholine receptor subunit beta-2;Neuronal acetylcholine receptor subunit alpha-5	ASD03080000_1;ASD03080000_2;ASD13120000_1	N#Cc1cccc(c1)-n1nnc(n1)-c1cccnc1	ASD03080109	Activator;Activator;Activator		WO 2010106106			
ADR000177		Preclinical	Anxiety disorder; Depression; Psychosis	C21H17FN2	Metabotropic glutamate receptor 2	ASD01880000_1	Fc1ccc(Cn2c(Cc3ccccc3)nc3ccccc23)cc1	ASD01883837	Activator					
ADR000178		Preclinical	Dementia, Alzheimer's type	C25H18ClN7O	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cc1ccccc1C1(CCN(CC2=C3C=CC=CN3C(=O)C(=C2)C(O)=O)CC1)C#N |c:13,15,17,23|	ASD01811037	Regulator		WO 2009051715			
ADR000179		Preclinical	Dementia, Alzheimer's type	C25H24N6O2	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCC(CC2)(C#N)c2cccnc2)=C2C=CC=CN2C1=O |c:24,26,t:3,22|	ASD01811041	Regulator		WO 2009051715			
ADR000180	OZP-002	Preclinical	Depression; Dementia, Alzheimer's type		Sigma non-opioid intracellular receptor 1	ASD02690000_1	CC1(C)COP(=O)(c2cccc(Cl)c2)C(C)(C)N1		Regulator		WO 2017191034			
ADR000181	BIIB-104; PF-04958242; PF-4958242	Phase II	Memory impairment; Schizophrenia; Hypoacusis, sensorineural	C18H20N2O4S2	Glutamate receptor 1	ASD03930000_1	CC(C)S(=O)(=O)N[C@H]1COC[C@H]1Oc1ccc(cc1)-c1ccc(s1)C#N	ASD01230383	Activator		WO 2010150192			
ADR000182	Compound A	Preclinical	Cognitive disorders; Psychosis		Metabotropic glutamate receptor 2	ASD01880000_1			Activator					
ADR000183	JNJ-40068782	Preclinical	Anxiety disorder; Depression; Sleep disorder; Cognitive disorders; Psychosis	C21H23N3O	Metabotropic glutamate receptor 2	ASD01880000_1	O=C1N(CC2CC2)C=CC(N2CCC(CC2)c2ccccc2)=C1C#N |c:8,24|	ASD01883008	Activator		WO 2008107479			
ADR000184		Preclinical	Dementia, Alzheimer's type	C21H14FNO3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CN(Cc2ccc3ccccc3c2)c2cccc(F)c2C1=O |t:3|	ASD01812066	Regulator		WO 2010047990			
ADR000185		Preclinical	Epilepsy; Anxiety disorder; Mood disorder; Schizophrenia; Eating disorder; Cognitive disorders; Substance abuse and dependence	C25H20F4N4O	Metabotropic glutamate receptor 2	ASD01880000_1	Fc1cc(ccc1Oc1ccnc(c1)C1CC1)-c1ccn2c(CC3CC3)nnc2c1C(F)(F)F	ASD01885584	Activator		WO 2010130423			
ADR000186		Preclinical	Psychosis	C19H18F4N4	Metabotropic glutamate receptor 2	ASD01880000_1	FC(F)(F)Cc1nnc2c(Cl)c(ccn12)N1CCC(F)(CC1)c1ccccc1	ASD01883908	Activator		WO 2010130424			
ADR000187	JNJ-42153605	Preclinical	Epilepsy; Psychosis	C18H17F3N4	Metabotropic glutamate receptor 2	ASD01880000_1	FC(F)(F)c1c(ccn2c(CC3CC3)nnc12)N1CCC(CC1)c1ccccc1	ASD01883909	Activator		WO 2010130424			
ADR000188	Org-27569	Preclinical	Others	C24H28ClN3O	Cannabinoid receptor 1	ASD03330000_1	CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccc(cc1)N1CCCCC1	ASD03330003	Inhibitor					
ADR000189	CPPZ	Preclinical	Schizophrenia	C18H19ClFN3O2	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(N2CCN(CC2)C(=O)COCc2ccncc2)c(Cl)c1	ASD01915255	Activator		WO 2007087135			
ADR000190	VU-0409106	Preclinical	Autism spectrum disorders; Pain; Anxiety disorder; Fragile X syndrome; Parkinson's disease; Gastroesophageal reflux disease (GERD); Substance abuse and dependence	C15H11FN4O2S	Metabotropic glutamate receptor 5	ASD01910000_1	Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1	ASD01916227	Inhibitor		US 2011152299; WO 2011035209			
ADR000191	VU-0404251	Preclinical	Psychosis	C15H11F2N3O	Metabotropic glutamate receptor 5	ASD01910000_1	C[C@@H](NC(=O)c1ccc(OCc2cccc(F)c2)nc1)C(C)(C)C	ASD01913702	Activator		WO 2011035324			
ADR000192		Preclinical	Dementia, Alzheimer's type	C21H20BrN3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCN(CC2)c2ccc(Br)cc2)=C2C=CC=CN2C1=O |c:23,25,t:3,21|	ASD01813838	Regulator		WO 2009094279			
ADR000193		Preclinical	Dementia, Alzheimer's type	C22H20F3N3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCN(CC2)c2ccc(cc2)C(F)(F)F)=C2C=CC=CN2C1=O |c:26,28,t:3,24|	ASD01813778	Regulator		WO 2009094279			
ADR000194	PXT-001687	Preclinical	Parkinson's disease	C22H23ClN4O4	Metabotropic glutamate receptor 1	ASD01870000_1	Cl.O\N=C1/C=C(Oc2ccc(OCCN3CCOCC3)cc12)c1cc2cccn2cn1 |c:3|	ASD01870458	Activator		WO 2011051478			
ADR000195	RO-4432717	Preclinical	Depression; Cognitive disorders	C23H18F3N3O	Metabotropic glutamate receptor 2;Metabotropic glutamate receptor 3	ASD01880000_1;ASD05170000_1	Cc1cc(ccn1)-c1cccc(c1)C1=Nc2cc(C)c(cc2NC(=O)C1)C(F)(F)F |t:15|	ASD01882831	Inhibitor;Inhibitor		WO 2003066623; WO 2005014002			
ADR000196	E-1R	Preclinical	Cognitive disorders	C13H16N2O2	Sigma non-opioid intracellular receptor 1	ASD02690000_1	C[C@H]1[C@H](CC(=O)N1CC(N)=O)c1ccccc1	ASD02690045	Regulator		WO 2011054888; WO 2017021881			
ADR000197	VU-0360172	Preclinical	Schizophrenia; Psychosis	C18H15FN2O	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1cccc(c1)C#Cc1ccc(cn1)C(=O)NC1CCC1	ASD01916183	Activator					
ADR000198		Preclinical	Cognitive disorders; Psychosis	C18H16F5N3O2	Glutamate receptor 1	ASD03930000_1	Fc1cc(cc(F)c1CN1CCCC1=O)-n1nc(c2COCCc12)C(F)(F)F	ASD03930262	Activator		WO 2008053031			
ADR000199		Preclinical	Cognitive disorders; Psychosis	C18H18F3N3O2	Glutamate receptor 1	ASD03930000_1	FC(F)(F)c1nn(c2CCOCc12)-c1ccc(cc1)C(=O)N1CCCC1	ASD03930263	Activator		WO 2008053031			
ADR000200		Preclinical	Cognitive disorders; Psychosis	C18H18F3N3O3	Glutamate receptor 1	ASD03930000_1	FC(F)(F)c1nn(c2CCCCc12)-c1ccc(cc1)C(=O)N1CCOCC1	ASD03930264	Activator		WO 2008110566			
ADR000201		Preclinical	Cognitive disorders; Psychosis	C15H16F3N3O3S	Glutamate receptor 1	ASD03930000_1	CS(=O)(=O)NCc1ccc(cc1)-n1nc(c2CCCCc12)C(F)(F)F	ASD03930265	Activator		WO 2008110566			
ADR000203		Preclinical	Cocaine dependency	C27H24ClNO4	Metabotropic glutamate receptor 2	ASD01880000_1	OC(=O)c1cc(ccc1Cl)-c1cccc(COc2ccc3C(=O)N(Cc3c2)C2CCCC2)c1	ASD01883776	Activator		WO 2011116356			
ADR000204		Preclinical	Cocaine dependency	C26H22ClNO4S	Metabotropic glutamate receptor 2	ASD01880000_1	OC(=O)c1cc(ccc1Cl)-c1cccc(COc2ccc3C(=O)N(Sc3c2)C2CCCC2)c1	ASD01883801	Activator		WO 2011116356			
ADR000205		Preclinical	Inflammation; Cancer	C16H14ClN3S	Glucocorticoid Receptor	ASD01190000_1	Cl.NCc1ccc(cc1)-c1cn2c(n1)sc1ccccc21	ASD01190063	Inhibitor					
ADR000206		Preclinical	Pain; Sleep disorder; Dementia, Alzheimer's type; Psychosis	C23H24N2O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cc1ccc(cc1)C1CCN(CC2=C3C=CC=CN3C(=O)C(=C2)C(O)=O)CC1 |c:13,15,17,23|	ASD01812086	Regulator		WO 2009102574			
ADR000207	ML-169; VU-0405652	Preclinical	Dementia, Alzheimer's type	C21H17BrFN3O4S	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cc1cc(NC(=O)CS(=O)(=O)c2cn(Cc3cc(Br)ccc3F)c3ccccc23)no1	ASD01812048	Regulator		WO 2011163280			
ADR000208	JNJ-42659604	Preclinical	Schizophrenia	C14H16N2O2S	Metabotropic glutamate receptor 5	ASD01910000_1	CN1CCc2nc(COc3ccccc3)sc2C1=O	ASD01918231	Activator		WO 2011073339			
ADR000209		Preclinical	Cognitive disorders; Psychosis	C22H21ClN2O	Metabotropic glutamate receptor 5	ASD01910000_1	Cl.CC1(C)CCC2=Nc3cc(ccc3C(=O)N2C1)C#Cc1ccccn1 |t:5|	ASD01918239	Activator		WO 2011075699			
ADR000210	LSN-2814617	Preclinical	Schizophrenia; Sleep disorder	C18H20FN5O	Metabotropic glutamate receptor 5	ASD01910000_1	CC(C)(C)c1nnc2C[C@H](CCn12)c1nc(no1)-c1ccc(F)cc1	ASD01910893	Activator		WO 2011082010			
ADR000211	TQS	Preclinical	Cognitive disorders; Psychosis	C22H20N2O2S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	NS(=O)(=O)c1ccc2NC(C3CC=CC3c2c1)c1cccc2ccccc12 |c:12|	ASD03090013	Activator		WO 2004098600			
ADR000212	VU-0418506	Preclinical	Parkinson's disease	C14H10ClFN2	Metabotropic glutamate receptor 4	ASD01900000_1	Fc1ccc(Nc2n[nH]c3cccnc23)cc1Cl	ASD01901059	Activator		WO 2011100607			
ADR000213		Preclinical	Psychosis	C19H16FN3O2	Metabotropic glutamate receptor 5	ASD01910000_1	Cc1cccc(c1)-c1noc(n1)[C@@H]1CN(C(=O)C1)c1ccc(F)cc1	ASD01918255	Activator					
ADR000214		Preclinical	Psychosis	C18H13ClFN3O2	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(cc1)N1CC(CC1=O)c1nc(no1)-c1cccc(Cl)c1	ASD01918256	Activator					
ADR000215		Preclinical	Schizophrenia	C22H28N6O3	Metabotropic glutamate receptor 2	ASD01880000_1	CN1C(=O)N(CC(C)(C)C)c2ccc(nc12)N1C[C@@H]2CC[C@H]1CN2C(=O)c1ccon1	ASD01883929	Activator		WO 2011034741			
ADR000216	CMPPE	Preclinical	Epilepsy; Nutrition disorders	C20H23ClN4O	Gamma-aminobutyric acid type B receptor	ASD01150000_1	Cc1cc(N2CCCCC2CCO)n2nc(cc2n1)-c1ccc(Cl)cc1	ASD01150934	Activator					
ADR000217		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Psychosis	C16H16N8O3	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1N=Nc2cc3C(=O)N(COc3cc2C1=O)C1CC1 |c:10|	ASD03930271	Activator		WO 2008085505; WO 2011130411			
ADR000218		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Psychosis	C17H17N7O3	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1C=Nc2cc3C(=O)N4CCCC4Oc3cc2C1=O |c:10|	ASD03930272	Activator		WO 2008085505			
ADR000219	MRZ-8676	Preclinical	Pain; Anxiety disorder; Dyskinesia; Cognitive disorders	C19H17NO	Metabotropic glutamate receptor 5	ASD01910000_1	CC1(C)CCc2nc(ccc2C1=O)C#Cc1ccccc1	ASD01918029	Inhibitor		WO 2007023290			
ADR000220	AZT-2	Preclinical	Cognitive disorders; Psychosis		Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1			Activator					
ADR000221	ADX-88178	Preclinical	Depression; Cocaine dependency; Anxiety, generalized; Psychosis; Parkinson's disease	C13H13N5S	Metabotropic glutamate receptor 4	ASD01900000_1	Cc1sc(Nc2nccc(C)n2)nc1-c1cn[nH]c1	ASD01901249	Activator		WO 2010079239			
ADR000222		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C28H30N4O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	COc1c(cc(Cc2ccc(nc2)-c2cnn(C)c2)c2ccccc12)C(=O)N[C@H]1CCCC[C@@H]1O	ASD01814564	Regulator		WO 2011149801			
ADR000223		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C25H28N2O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	COc1c(cc(Cc2ccc(C)nc2)c2ccccc12)C(=O)N[C@H]1CCCC[C@@H]1O	ASD01814563	Regulator		WO 2011149801			
ADR000224		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C27H28N4O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	COc1c(cc(Cc2ccc(nc2)-n2cccn2)c2ccccc12)C(=O)N[C@H]1CCCC[C@@H]1O	ASD01814566	Regulator		WO 2011149801			
ADR000225		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C23H23ClN2O4	Muscarinic acetylcholine receptor M1	ASD01810000_1	COc1c(cc(Cc2ccc(Cl)nc2)c2ccccc12)C(=O)N[C@H]1CCOC[C@@H]1O	ASD01814569	Regulator		WO 2011149801			
ADR000226		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C17H17N13O2	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1C=Nc2cc3C(=O)N(N=Nc3cc2C1=O)[C@H](C)Cn1ncnn1 |c:10,18|	ASD03930273	Activator		WO 2009038752			
ADR000227		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C14H13N9O2	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1C=Nc2cc3C(=O)N(C)N=Nc3cc2C1=O |c:10,19|	ASD03930274	Activator		WO 2009038752			
ADR000228	VU-000069	Preclinical	Schizophrenia	C20H19NO	Metabotropic glutamate receptor 5	ASD01910000_1	CCCN1CCc2cc(ccc2C1=O)C#Cc1ccccc1	ASD01910675	Activator		WO 2008151184			
ADR000230	LSN-2463359	Preclinical	Schizophrenia; Sleep disorder	C16H15N3O	Metabotropic glutamate receptor 5	ASD01910000_1	CC(C)NC(=O)c1ccc(cn1)C#Cc1ccncc1	ASD01911115	Activator		KR 2016126146; WO 2013188465			
ADR000231	COR-628	Preclinical	Others	C16H23NO3S	Gamma-aminobutyric acid type B receptor	ASD01150000_1	CCc1c(C)sc(NC(=O)C2CCCCC2)c1C(=O)OC	ASD01150324	Activator					
ADR000232	COR-627	Preclinical	Inflammation, skin	C20H27NO3S	Cannabinoid receptor 2;Gamma-aminobutyric acid type B receptor	ASD11730000_1;ASD01150000_1	CCc1c(C)sc(NC(=O)C23CC4CC(CC(C4)C2)C3)c1C(=O)OC	ASD01150307	Activator;Activator					
ADR000233	XMetA; XOMA-159	Preclinical	Diabetes type 2; Hyperglycemia; Diabetes; Diabetes type 1		Insulin Receptor	ASD01650000_1			Activator		WO 2011038302; WO 2016141111			
ADR000234	JNJ-46778212; VU-0409551	Preclinical	Psychosis	C20H17FN2O3	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(cc1)C(=O)N1CCc2nc(COc3ccccc3)oc2C1	ASD01914337	Activator		WO 2012031024			
ADR000235	VU-0240382	Preclinical	Schizophrenia; Psychosis	C17H13NO	Metabotropic glutamate receptor 5	ASD01910000_1	O=C1NCCc2cc(ccc12)C#Cc1ccccc1	ASD01910638	Activator					
ADR000236	VU-0092273	Preclinical	Schizophrenia; Psychosis	C20H19NO2	Metabotropic glutamate receptor 5	ASD01910000_1	OC1CCN(CC1)C(=O)c1ccc(cc1)C#Cc1ccccc1	ASD01910815	Activator		WO 2008151184			
ADR000237	VU-0361747	Preclinical	Schizophrenia; Psychosis	C19H17FN2O2	Metabotropic glutamate receptor 5	ASD01910000_1	OC1CCN(CC1)C(=O)c1ccc(nc1)C#Cc1cccc(F)c1	ASD01916185	Activator					
ADR000238		Preclinical	Schizophrenia	C21H27N7O2S	Metabotropic glutamate receptor 2	ASD01880000_1	CN1C(=O)N(CC(C)(C)C)c2ccc(nc12)N1C[C@@H]2CC[C@H]1CN2C(=O)c1csnn1	ASD01883930	Activator		WO 2011034741			
ADR000239		Preclinical	Sleep disorder	C22H20FN3O2	Metabotropic glutamate receptor 2	ASD01880000_1	CCCCN1C=CC(=C(C#N)C1=O)c1ccc(Oc2ccnc(C)c2)c(F)c1 |c:5,t:7|	ASD01883031	Activator		WO 2007104783; WO 2008107480			
ADR000240		Preclinical	Sleep disorder	C23H22ClN3O2	Metabotropic glutamate receptor 2	ASD01880000_1	CCCCN1C=CC(=C(C#N)C1=O)c1ccc(Oc2ccc(C)nc2C)c(Cl)c1 |c:5,t:7|	ASD01884063	Activator		WO 2007104783; WO 2008107480			
ADR000241		Preclinical	Sleep disorder	C22H21N3O2	Metabotropic glutamate receptor 2	ASD01880000_1	CCCCN1C=CC(=C(C#N)C1=O)c1ccc(Oc2ccnc(C)c2)cc1 |c:5,t:7|	ASD01883044	Activator		WO 2007104783; WO 2008107480			
ADR000242	ADX-71441	Preclinical	Epilepsy; Anxiety disorder; Smoking cessation therapy; Cocaine dependency; Pain, osteoarthritis; Overactive bladder; Pain, visceral; Charcot-Marie-Tooth disease, type 1A; Bladder disorders; Spasticity; Cystitis, interstitial; Alcoholism; Autism; Irritable bowel syndrome; Substance abuse and dependence	C19H15ClF2N4O4	Gamma-aminobutyric acid type B receptor	ASD01150000_1	COC1=NN(C(=O)N(Cc2ccc(Cl)c(F)c2)C1=O)c1ccc(F)c(NC(C)=O)c1 |t:2|	ASD01150599	Activator		WO 2008056257			
ADR000243	AZ-12216052	Preclinical	Anxiety disorder	C19H22BrNOS	Metabotropic glutamate receptor 8	ASD05180000_1	CCC(C)c1ccc(NC(=O)CSCc2ccc(Br)cc2)cc1	ASD05183001	Activator					
ADR000244		Preclinical	Sleep disorder	C21H20Cl2F3N3O	Metabotropic glutamate receptor 2	ASD01880000_1	O[C@H]1CC[C@@H](CC1)Nc1ccc(c(Cl)c1)-c1ccn2c(CC(F)(F)F)cnc2c1Cl |r,wU:1.0,wD:4.7,(.8,-19.45,;2.13,-20.22,;3.46,-19.45,;4.8,-20.22,;4.8,-21.76,;3.46,-22.53,;2.13,-21.76,;6.13,-22.53,;7.46,-21.76,;8.79,-22.53,;10.13,-21.77,;10.13,-20.22,;8.79,-19.45,;8.79,-17.91,;7.46,-20.22,;11.46,-19.45,;11.46,-17.9,;12.8,-17.14,;14.12,-17.91,;15.59,-17.45,;15.59,-15.91,;16.92,-15.14,;16.92,-13.6,;18.26,-15.91,;18.26,-14.37,;16.51,-18.7,;15.62,-19.92,;14.12,-19.45,;12.8,-20.22,;12.8,-21.76,)|	ASD01883938	Activator		WO 2009062676			
ADR000245		Preclinical	Sleep disorder	C23H21ClF3N3O	Metabotropic glutamate receptor 2	ASD01880000_1	O[C@H]1CC[C@@H](CC1)n1ccc2cc(ccc12)-c1ccn2c(CC(F)(F)F)cnc2c1Cl |r,wU:1.0,wD:4.7,(3.95,-19.34,;3.95,-17.8,;2.62,-17.03,;2.62,-15.49,;3.95,-14.72,;5.29,-15.49,;5.29,-17.03,;3.95,-13.18,;3.07,-11.96,;3.99,-10.71,;5.45,-11.17,;6.78,-10.4,;8.12,-11.17,;8.12,-12.71,;6.78,-13.48,;5.45,-12.71,;9.45,-10.4,;9.45,-8.85,;10.79,-8.09,;12.11,-8.86,;13.58,-8.4,;13.58,-6.86,;14.91,-6.09,;14.91,-4.55,;16.24,-6.86,;16.24,-5.32,;14.5,-9.65,;13.61,-10.87,;12.11,-10.4,;10.78,-11.17,;10.78,-12.71,)|	ASD01883748	Activator		WO 2010060589			
ADR000246		Preclinical	Sleep disorder	C24H21F3N4O	Metabotropic glutamate receptor 2	ASD01880000_1	O[C@H]1CC[C@@H](CC1)n1ccc2cc(ccc12)-c1ccn2c(CC(F)(F)F)cnc2c1C#N |r,wU:1.0,wD:4.7,(3.71,-19.11,;3.71,-17.57,;2.37,-16.8,;2.37,-15.26,;3.71,-14.49,;5.04,-15.26,;5.04,-16.8,;3.71,-12.95,;2.82,-11.73,;3.74,-10.48,;5.21,-10.94,;6.54,-10.17,;7.87,-10.94,;7.87,-12.49,;6.53,-13.25,;5.21,-12.48,;9.21,-10.17,;9.21,-8.62,;10.54,-7.86,;11.87,-8.63,;13.33,-8.17,;13.33,-6.63,;14.67,-5.86,;14.67,-4.32,;16,-6.63,;16,-5.09,;14.25,-9.42,;13.37,-10.64,;11.87,-10.17,;10.54,-10.94,;10.54,-12.48,;10.54,-14.02,)|	ASD01883761	Activator		WO 2010060589			
ADR000247		Preclinical	Sleep disorder	C23H19F3N4O	Metabotropic glutamate receptor 2	ASD01880000_1	FC(F)(F)Cc1cnc2c(C#N)c(ccn12)-c1ccc2n(ccc2c1)C1CCOCC1	ASD01883751	Activator		WO 2010060589			
ADR000248	VU-0366058	Preclinical	Anxiety disorder; Substance abuse and dependence	C20H15ClN4O	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(cc1)-c1nc(Nc2nc3ccccc3o2)ncc1C#N	ASD01912012	Inhibitor					
ADR000249		Preclinical	Cognitive disorders	C12H11ClN2O3S	Glutamate receptor 1	ASD03930000_1	CC1Nc2c(cc(Cl)cc2S(=O)(=O)N1)-c1ccoc1	ASD01230036	Activator					
ADR000250		Preclinical	Cognitive disorders; Psychosis	C21H18F2N2O2	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	CCOc1ccc(cc1)-c1cnc(NC)c(c1)C(=O)c1ccc(F)c(F)c1	ASD03092740	Activator					
ADR000251	KK-84A	Preclinical	Smoking cessation therapy	C22H25F3N4O	Gamma-aminobutyric acid type B receptor	ASD01150000_1	FC(F)(F)c1ccc(cc1)-c1cnc(nc1NC1CCCCCC1)C(=O)NC1CC1	ASD01151078	Activator					
ADR000252	KK-92A-1	Preclinical	Smoking cessation therapy	C19H22F3N3O	Gamma-aminobutyric acid type B receptor	ASD01150000_1	OCc1ncc(-c2ccc(cc2)C(F)(F)F)c(NC2CCCCCC2)n1	ASD01151069	Activator					
ADR000253	KK-37	Preclinical	Smoking cessation therapy	C19H22F3N3	Gamma-aminobutyric acid type B receptor	ASD01150000_1	Cc1ncc(c(NC2CCCCCC2)n1)-c1ccc(cc1)C(F)(F)F	ASD01150033	Activator					
ADR000254		Preclinical	Cocaine dependency	C26H22ClNO3	Metabotropic glutamate receptor 2	ASD01880000_1	OC(=O)c1cc(ccc1Cl)-c1cccc(c1)-c1ccc2C(=O)N(Cc2c1)C1CCCC1	ASD01884809	Activator		WO 2011116356			
ADR000255		Preclinical	Cocaine dependency	C28H27NO5	Metabotropic glutamate receptor 2	ASD01880000_1	COc1ccc(cc1-c1cccc(COc2ccc3C(=O)N(Cc3c2)C2CCCC2)c1)C(O)=O	ASD01883788	Activator		WO 2011116356			
ADR000256		Preclinical	Anxiety disorder	C20H17F3N4O5	Gamma-aminobutyric acid type B receptor	ASD01150000_1	COC1=NN(C(=O)N(Cc2ccc(F)c(OC)c2F)C1=O)c1ccc(F)c(NC(C)=O)c1 |t:2|	ASD01150546	Activator		WO 2008056257			
ADR000257	[11C]JNJ-42491293	Phase I	Diagnostics	C22H23ClF2N4O	Metabotropic glutamate receptor 2	ASD01880000_1	[11CH3]Oc1c(F)ccc(F)c1C1CCN(CC1)c1ccn2c(CC3CC3)nnc2c1Cl	ASD01884116	Activator		WO 2012062752			
ADR000258		Preclinical	Diagnostics	C22H24ClFN4O	Metabotropic glutamate receptor 2	ASD01880000_1	[11CH3]Oc1ccc(F)cc1C1CCN(CC1)c1ccn2c(CC3CC3)nnc2c1Cl	ASD01884112	Activator		WO 2012062752			
ADR000259		Preclinical	Diagnostics	C22H23ClF2N4O	Metabotropic glutamate receptor 2	ASD01880000_1	[11CH3]Oc1cc(F)cc(F)c1C1CCN(CC1)c1ccn2c(CC3CC3)nnc2c1Cl	ASD01884118	Activator		WO 2012062752			
ADR000260		Preclinical	Diagnostics	C22H23ClF2N4O	Metabotropic glutamate receptor 2	ASD01880000_1	[11CH3]Oc1ccc(F)c(F)c1C1CCN(CC1)c1ccn2c(CC3CC3)nnc2c1Cl	ASD01884117	Activator		WO 2012062752			
ADR000261		Preclinical	Schizophrenia; Cognitive disorders	C22H15FN2O2	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1cccc(c1)[C@H]1OC(=O)N[C@@H]1c1cncc(c1)C#Cc1ccccc1	ASD01913059	Activator		WO 2012064603			
ADR000262	RO-15-4515	Preclinical	Others		Gamma-aminobutyric acid-A receptor	ASD01140000_1			Inhibitor					
ADR000263	ML-289; VU-0463597	Preclinical	Depression; Schizophrenia; Dementia, Alzheimer's type	C22H23NO3	Metabotropic glutamate receptor 3	ASD05170000_1	COc1ccc(cc1)C#Cc1ccc(cc1)C(=O)N1CCC[C@@H](CO)C1	ASD05170042	Inhibitor					
ADR000264	VU-0405372	Preclinical	Psychosis	C15H13FN2O2	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1cccc(COc2ccc3C(=O)NCCc3n2)c1	ASD01915467	Activator		WO 2012092530			
ADR000265		Preclinical	Dementia, Alzheimer's type	C27H19F2N5O	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cc1ccccc1N1N=C2C(=CN(Cc3ccc(cc3)-n3cccn3)c3c(F)ccc(F)c23)C1=O |c:9,11|	ASD01815889	Regulator		WO 2011049731			
ADR000266		Preclinical	Anxiety disorder	C15H6FN3	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1cc(cc(c1)C#Cc1cccc(n1)C#N)C#N	ASD01918334	Inhibitor					
ADR000267	ML-293; VU-0409524	Preclinical	Schizophrenia; Dementia, Alzheimer's type	C15H13N3O2S	Muscarinic acetylcholine receptor M4	ASD01840000_1	COc1ccc(C)c2sc(NC(=O)c3ccncc3)nc12	ASD01841038	Regulator					
ADR000268		Preclinical	Schizophrenia; Dementia, Alzheimer's type	C14H12N4O2S	Muscarinic acetylcholine receptor M4	ASD01840000_1	COc1ccc(C)c2sc(NC(=O)c3ccncn3)nc12	ASD01840232	Regulator					
ADR000269		Preclinical	Psychosis	C18H13ClFN3O2	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(cc1)N1CC(CC1=O)c1nc(no1)-c1cccc(Cl)c1	ASD01912158	Activator					
ADR000270	VU-0424238; VU-238	Preclinical	Anxiety disorder; Obsessive-compulsive disorder; Depression	C16H12FN5O2	Metabotropic glutamate receptor 5	ASD01910000_1	Cc1cc(Oc2cncnc2)cc(n1)C(=O)Nc1ccc(F)cn1	ASD01910006	Inhibitor		WO 2012118563			
ADR000271		Preclinical	Anxiety disorder; Obsessive-compulsive disorder; Depression	C17H12F2N4O2	Metabotropic glutamate receptor 5	ASD01910000_1	Cc1cc(Oc2cncc(F)c2)cc(n1)C(=O)Nc1ccc(F)cn1	ASD01910013	Inhibitor		WO 2012118563			
